Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/koond,270,248,10000.0,9438.615053466707,121.65331399955903,13338.531108998723,367.13703703703703,1.5555934450825293,1.4288413865943232,10000,10000,10000,10000,10000,10000,10000,13000,13000,13000,13000
GET,/status,117,0,2,2.6676256752074954,1.944273000844987,11.098660999778076,51.0,0.6740904928690961,0.0,2,2,3,3,4,5,5,7,11,11,11
,Aggregated,387,248,10000.0,6585.886761343691,1.944273000844987,13338.531108998723,271.5607235142119,2.2296839379516253,1.4288413865943232,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000
