Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764600804,20,,Aggregated,2.200000,1.700000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,48,33,10000.0,6787.103208770907,2.0320499988883967,10149.17260600123,261.6666666666667
1764600805,20,,Aggregated,2.000000,1.400000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,52,36,10000.0,6845.554646865397,2.0320499988883967,10149.17260600123,264.38461538461536
1764600806,20,,Aggregated,2.200000,1.600000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,53,36,10000.0,6716.439175471742,2.0320499988883967,10149.17260600123,260.35849056603774
1764600807,20,,Aggregated,2.100000,1.400000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,56,39,10000.0,6895.605509803671,2.0320499988883967,10149.17260600123,266.7142857142857
1764600808,20,,Aggregated,2.100000,1.400000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,56,39,10000.0,6895.605509803671,2.0320499988883967,10149.17260600123,266.7142857142857
1764600809,20,,Aggregated,2.400000,1.600000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,58,39,10000.0,6657.916511534585,2.0320499988883967,10149.17260600123,259.2758620689655
1764600810,20,,Aggregated,2.600000,1.800000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,59,40,10000.0,6715.478570661104,2.0320499988883967,10149.17260600123,261.3050847457627
1764600811,20,,Aggregated,2.200000,1.500000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,61,41,10000.0,6660.294100508281,2.0320499988883967,10149.17260600123,259.78688524590166
1764600812,20,,Aggregated,2.200000,1.300000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,66,45,10000.0,6765.6328703637155,2.0320499988883967,10149.17260600123,263.8484848484849
1764600813,20,,Aggregated,1.900000,1.300000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,71,50,10000.0,6984.395719028248,2.0320499988883967,13320.683844000087,261.98591549295776
1764600814,20,,Aggregated,1.900000,1.300000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,73,50,10000.0,6793.10483679459,2.0320499988883967,13320.683844000087,256.2054794520548
1764600815,20,,Aggregated,2.200000,1.500000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,76,51,10000.0,6657.428407144808,2.0320499988883967,13320.683844000087,252.42105263157896
1764600816,20,,Aggregated,2.700000,1.800000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,79,51,10000.0,6404.706930962086,2.0320499988883967,13320.683844000087,244.77215189873417
1764600817,20,,Aggregated,2.600000,1.700000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,83,54,10000.0,6460.003082710924,2.0320499988883967,13320.683844000087,247.289156626506
1764600818,20,,Aggregated,2.500000,1.500000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,85,55,10000.0,6465.24600002363,2.0320499988883967,13320.683844000087,250.85882352941175
1764600819,20,,Aggregated,2.600000,1.500000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,88,57,10000.0,6473.512550397816,2.0320499988883967,13320.683844000087,251.5
1764600820,20,,Aggregated,2.600000,1.500000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,88,57,10000.0,6473.512550397816,2.0320499988883967,13320.683844000087,251.5
1764600821,20,,Aggregated,2.900000,1.600000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,90,57,10000.0,6329.7255028556565,2.0320499988883967,13320.683844000087,247.04444444444445
1764600822,20,,Aggregated,3.000000,1.800000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,91,58,10000.0,6370.721516681417,2.0320499988883967,13320.683844000087,248.4945054945055
1764600823,20,,Aggregated,2.900000,1.700000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,93,60,10000.0,6430.003754139874,2.0320499988883967,13320.683844000087,249.38709677419354
1764600824,20,,Aggregated,2.800000,1.500000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,96,63,10000.0,6543.47600001051,2.0320499988883967,13320.683844000087,253.4375
1764600825,20,,Aggregated,2.600000,1.400000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,98,65,10000.0,6615.1957562858015,2.0320499988883967,13320.683844000087,256.0
1764600826,20,,Aggregated,2.100000,1.100000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,13000,99,66,10000.0,6649.997356697055,2.0320499988883967,13320.683844000087,257.24242424242425
1764600827,20,,Aggregated,2.200000,1.300000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,103,67,10000.0,6489.5141809127135,1.9949590005126083,13320.683844000087,252.41747572815535
